Food Type,Name,Opening Hours,Google Maps Link
,Laksa Mamu Famous Sungai Pinang,Mon 15:00-21:00; Tue 15:00-21:00; Wed 15:00-21:00; Thu 15:00-21:00; Fri 15:00-21:00; Sat 15:00-21:00; Sun Closed,"https://www.google.com/maps/place/Laksa+Mamu+Famous+Sungai+Pinang/@5.4023403,100.3230169,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac3c30b1e8b9f:0x90f46eaf2e94859c!8m2!3d5.4023403!4d100.3230169!16s/g/11hb9d56hk?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,Laksalicious,Mon Closed; Tue 11:30-19:00; Wed 11:30-19:00; Thu 11:30-19:00; Fri 11:30-19:00; Sat 11:30-19:00; Sun 11:30-19:00,"https://www.google.com/maps/place/Laksalicious/@5.4200844,100.3300879,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac3983d5437e5:0xb96684e4438c4e3!8m2!3d5.4200844!4d100.3300879!16s/g/11b81rsjzy?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,Penang Air Itam Laksa,Mon Closed; Tue Closed; Wed Closed; Thu Closed; Fri Closed; Sat 11:00-18:00; Sun 11:00-18:00,"https://www.google.com/maps/place/Penang+Air+Itam+Laksa/@5.4014701,100.2781281,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac2176f4bdac1:0x89384722d9a4633b!8m2!3d5.4014701!4d100.2781281!16s/g/11gzwqg4_?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,檳榔律馳名叻沙,Mon 09:00-17:30; Tue 09:00-17:30; Wed Closed; Thu 09:00-17:30; Fri 09:00-17:30; Sat 09:00-17:30; Sun 09:00-17:30,"https://www.google.com/maps/place/檳榔律馳名叻沙/@5.416661,100.3311558,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac396ec86d23d:0x3d16f979154f0f62!8m2!3d5.416661!4d100.3311558!16s/g/11c1r1h_4w?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,Ah Beng Lok Lok • Padang Brown,Mon Closed; Tue 12:00-17:30; Wed 12:00-17:30; Thu 12:00-17:30; Fri Closed; Sat 12:00-17:30; Sun 12:00-17:30,"https://www.google.com/maps/place/Ah+Beng+Lok+Lok+•+Padang+Brown/@5.4133912,100.312863,15z/data=!4m6!3m5!1s0x304ac3b9ae485f87:0x744b06a9ae633d2c!8m2!3d5.4133916!4d100.3183156!16s/g/11h9vm_4_l?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
粿條湯,113 Duck Meat Koey Teow Theng,Mon 06:30-15:00; Tue 06:30-15:00; Wed 06:30-15:00; Thu 06:30-15:00; Fri 06:30-15:00; Sat 06:30-15:00; Sun 06:30-12:00,"https://www.google.com/maps/place/113+Duck+Meat+Koey+Teow+Theng/@5.4144113,100.3343204,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac393e647a621:0xcda1dd1d8ee240c2!8m2!3d5.4144113!4d100.3343204!16s/g/11bw40vm00?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,南來鴨肉粿條湯,Mon 07:00-17:00; Tue 07:00-17:00; Wed 07:00-17:00; Thu 07:00-17:00; Fri 07:00-17:00; Sat 07:00-17:00; Sun 07:00-17:00,"https://www.google.com/maps/place/南來鴨肉粿條湯/@5.4073461,100.3288201,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac3699121567f:0x3235f9fd4c68310!8m2!3d5.4073461!4d100.3288201!16s/g/11mvp4bg56?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,Kimberley Street Duck Kway Chap,Mon 13:00-22:00; Tue 13:00-22:00; Wed 13:00-22:00; Thu Closed; Fri 13:00-22:00; Sat 13:00-22:00; Sun 13:00-22:00,"https://www.google.com/maps/place/Kimberley+Street+Duck+Kway+Chap/@5.416235,100.3302134,17z/data=!4m6!3m5!1s0x304ac10eac72291d:0x8ce2cc9a211b3b22!8m2!3d5.416235!4d100.3327937!16s/g/1ptx0kdkc?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,Loh Duck Koay Chap,Mon Closed; Tue 06:30-13:00; Wed 06:30-13:00; Thu 06:30-13:00; Fri 06:30-13:00; Sat 06:30-13:00; Sun 06:30-13:00,"https://www.google.com/maps/place/Loh+Duck+Koay+Chap/@5.4002128,100.2780553,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac219e66aa135:0xf98495fe668b4f2b!8m2!3d5.4002128!4d100.2780553!16s/g/11c5rt507c?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,Super Star Koay Teow Soup,Mon 08:00-20:00; Tue 08:00-20:00; Wed Closed; Thu 08:00-20:00; Fri 08:00-20:00; Sat 08:00-20:00; Sun 08:00-20:00,"https://www.google.com/maps/place/Super+Star+Koay+Teow+Soup(shop)/@5.4162402,100.3324648,18.27z/data=!4m6!3m5!1s0x304ac396b4f3efd3:0x23b19450f397d401!8m2!3d5.4167391!4d100.3323398!16s/g/11hcyvkqkm?entry=ttu&g_ep=EgoyMDI2MDUxMi4wIKXMDSoASAFQAw=="
